Type,SKU,Name,Short description,In stock?,Weight (kg),Length (cm),Width (cm),Height (cm),Regular price,Categories,Tags,Images
simple,19469,Traveller Hip Flask,"Sleek design, save space and convenient for taking trips. Stainless steel material, safe and healthy. High quality flask suitable to store hot or cold water, juice from soft drinks. A great accompaniment for outdoor activities. Perfect for you to crazy with.",1,,16,19.5,2,20,Marketplace,hard liquor,https://alittlething.co/wp-content/uploads/2022/06/DSC00100-scaled.jpg
simple,19470,Wooden Double Edge Safety Razor by Seedy,"Razor which made from beech wood and stainless steel material, that are environmentally friendly and sustainable. Lightweight and easy to carry. Detachable blades design helps to reduce the water residue and prevent bacterial growth.",1,0.04,11,4,1.5,15,Marketplace,man,https://alittlething.co/wp-content/uploads/2022/06/DSC00141-scaled.jpg
simple,19471,Wooden Door Hanger,"Wood door hanger is essential for any front door, especially when you are busy and do not want to be disturb by anyone. Why have a boring door hanger when you can have one personalized like ours.",1,,29,9.2,,20,Marketplace,general,https://alittlething.co/wp-content/uploads/2022/06/DSC00097-1-scaled.jpg
simple,19472,Mini Leather Cable Organizer Pouch,"Always losing cables, chargers and data cables? Why worries, when you have this Mini Leather Cable Organizer pouch with you. Made of durable and high quality leather. With the help of this organizer, you can organize all the cables after use it.",1,,11.5,8,4.6,25,Marketplace,general,https://alittlething.co/wp-content/uploads/2022/06/DSC00086-scaled.jpg
simple,19473,Director Baseball Cap,"High quality cotton with an eco -friendly fabric dye are what this baseball cap is made from. It give the casual and stylish look, suit for every day style.",1,,26.5,12,10,29,Marketplace,man,https://alittlething.co/wp-content/uploads/2022/06/DSC00130-scaled.jpg
simple,19474,Mini Block Wooden Speaker,Enjoy the sound of movie with this Mini Block Wooden Speaker. It requires no wires or power and you can simply connect it from any device through Bluetooth. The mini size made you easier to carry everywhere you want.,1,,6,8,8,55,Marketplace,music,https://alittlething.co/wp-content/uploads/2022/06/DSC00119-scaled.jpg
simple,19475,Plain Cotton Socks,"Wearing socks at home? Yeah, because why not! These pair of super-soft socks, made of high-quality cotton which provide you comfort and prevent from such cold. Your feet will feel extra warm at all the time.",1,,33,10.5,,20,Marketplace,general,https://alittlething.co/wp-content/uploads/2022/06/DSC00135-scaled.jpg
simple,19479,Cinema Classic Caramel by Eureka Popcorn,When was the last time you ate popcorn at cinema? Grab this caramelized popcorn and enjoy the movies at home with your loved ones.,1,0.105,10,10,10,25,Marketplace,dessert,https://alittlething.co/wp-content/uploads/2022/06/DSC00120-scaled.jpg
simple,19547,Coffee Powder by Carnarvon,"Clean, Bright and Hope. The uniqueness of this fresh and deliciously handmade roasted Coffee Powder by Carnarvor, which it comes with a perfect combination of taste notes. It will serve you the greatest taste of coffee that you ever had. By having a sip of coffee is enough to give hope and brighten up your life!",1,0.2,22.8,14.8,3,45,Marketplace,ground coffee,https://alittlething.co/wp-content/uploads/2022/06/DSC00036.jpg
simple,19561,Solid Silver Coffee Cup,"This retro milan matte silvery cup, made of high quality stainless steel material, safe and healthy. The coffee spoon and saucer make its look more aesthetic, so you could enjoy your morning coffee with style.",1,0.215,11.5,13.5,5.5,52,Marketplace,coffee,https://alittlething.co/wp-content/uploads/2022/06/DSC00034.jpg
simple,19562,Moka Pot Coffee Maker,"Moka Pot known as a tool for you to extract espresso coffee in Europe and Latin American countries. If you love to have a very strong coffee but not quite similar to espresso, this Moka Pot Coffee Maker will serve you that! How to use our Moka Pot Coffee Maker ?Step 1: Add cold filtered water to the bottom half of the pot until it reaches the valve.Step 2: Fill the funnel with Coffee Powder by Carnarvon level with the top with a little pressure, but don’t tamp the grinds down.Step 3: Insert the funnel into the bottom portion of the pot. Screw the top onto the base until it is just finger tight.Step 4: Place the moka pot on the stove over medium heat. Make sure the gas flame is smaller than the width of the pot.Step 5: Brews coffee about 5 to 7 minutes. The water will boil up through the coffee and fill the top of the pot. The coffee start to bubble at around 3 to 5 minutes. About 2 minutes later, remove the moka pot from the fire source and the brewed coffee is very fragrant. Turn off the heat.Step 6: Lift the top of the pot and peak inside. The chamber should be full of coffee. Pour it into the coffee cup, and then you may enjoy your coffee!Step 1: Add cold filtered water to the bottom half of the pot until it reaches the valve.
Step 2: Fill the funnel with Coffee Powder by Carnarvon level with the top with a little pressure, but don’t tamp the grinds down.
Step 3: Insert the funnel into the bottom portion of the pot. Screw the top onto the base until it is just finger tight.
Step 4: Place the moka pot on the stove over medium heat. Make sure the gas flame is smaller than the width of the pot.
Step 5: Brews coffee about 5 to 7 minutes. The water will boil up through the coffee and fill the top of the pot. The coffee start to bubble at around 3 to 5 minutes. About 2 minutes later, remove the moka pot from the fire source and the brewed coffee is very fragrant. Turn off the heat.
Step 6: Lift the top of the pot and peak inside. The chamber should be full of coffee. Pour it into the coffee cup, and then you may enjoy your coffee!",0,0.355,15,8,15,38,Marketplace,ground coffee,https://alittlething.co/wp-content/uploads/2022/06/DSC00038-1-scaled.jpg
simple,19723,Silicone Collapsible Mug,"Collapsible, convenient reusables mug that can fit in your pocket! Great to use when you need to drink on the go.",1,0.06,8.5,85,8.5,27,Marketplace,travel,"https://alittlething.co/wp-content/uploads/2022/07/rsz_dsc00023.jpg, https://alittlething.co/wp-content/uploads/2022/07/DSC00022-scaled.jpg"
simple,19726,Sea Salt Lavender by Dear Scrub,"Enjoy the relaxing scent of lavender that helps to relax the mind and is ideal for the treatment of insomnia, stress and headaches you gently buff away dead skin cells and resulting in brighter and smoother skin.",1,0.3,5,5,2,15,Marketplace,self care,https://alittlething.co/wp-content/uploads/2022/07/DSC00026.jpg
simple,19728,Coffee scrub by Dear Scrub,"Wake your skin and senses to the undeniable aroma of coffee scrub. Great for exfoliating dead skin cells, nourishing, and also helps get rid of cellulite.",1,0.03,5,5,2,15,Marketplace,self care,https://alittlething.co/wp-content/uploads/2022/07/DSC00042.jpg
simple,19732,Sea Salt Rose by Dear Scrub,"The blend of sea salt, rose and grapeseed oil results in a very effective exfoliate buffing away dead skin cells and resulting in brighter and smoother skin. Magical and rejuvenating recipe featuring with the scent of rose which will immediately relax you.",1,0.03,5,5,2,24,Marketplace,relax,https://alittlething.co/wp-content/uploads/2022/07/DSC00006-scaled.jpg
simple,19734,Organic Pocket Chia by Love & Earth,"Despite their small size, chia seeds are high in fiber and full in nutrient, 8 times more Omega-3 than salmon ad 15 times more magnesium than broccoli!",1,0.028,2.8,2.8,8.5,7,Marketplace,eat clean,https://alittlething.co/wp-content/uploads/2022/07/DSC00028-scaled.jpg
simple,19736,Chocolate Hazelnut Granola Bites by Amazin' Graze,"Dark chocolate granola made with traditional rolled oats, buckwheat and antioxidant-rich chia seeds, mixed with juicy cherries, sweet cranberries, almonds, and crunchy hazelnuts. A guilt-free chocolate indulgence that will have you coming back for more.",1,0.04,14.5,11,1.5,10,Marketplace,dessert,https://alittlething.co/wp-content/uploads/2022/07/DSC00014-e1658480627764.jpg
simple,19738,‘Coconut Kaya’ Granola by Amazin’ Graze,"The ultimate Southeast Asian snack (kuih kapit or love letters) reimagined. A wholesome blend of traditional rolled oats and chia seeds graciously coated in kaya jam and fresh pandan leaves, then topped with buttery pecans, earthy almonds, and juicy cranberries. This tasty granola is accented by the sweet aroma of pandan - Asia’s favourite vanilla.",1,0.04,14.5,11,1.5,10,Marketplace,dessert,https://alittlething.co/wp-content/uploads/2022/07/rsz_dsc00008.jpg
simple,19740,Mini Banana Bread Granola Bites by Amazin' Graze,"Never feel guilty for indulging in that slice of banana bread again. Traditional rolled oats and golden flax seeds coated in natural banana puree, topped with pecans, walnuts, and sweet banana bits. This cinnamon-dusted and earthy granola will satisfy your comfort food cravings.",1,0.04,14.5,11,1.5,10,Marketplace,dessert,https://alittlething.co/wp-content/uploads/2022/07/DSC00069-rotated.jpg
simple,19742,Blueberry Coconut Granola by Amazin’ Graze,"Fragrant coconut granola oats, chia seeds, crunchy almonds, and creamy cashews and topped with wild blueberries, goji berries and juicy raisins. Designed to keep you energized and sustained throughout your happy working day!",1,0.04,14.5,11,1.5,10,Marketplace,dessert,https://alittlething.co/wp-content/uploads/2022/07/DSC00049-rotated.jpg
simple,19744,Almond Gold Mini by Whittakers,"A gold moment of a smooth refined creamy milk chocolate, packed with almonds, freshly batch-roasted for the more happy mood of yourself!",1,0.016,2.5,7.5,1,5,Marketplace,dessert,https://alittlething.co/wp-content/uploads/2022/07/DSC00016.-rotated.jpg
simple,19746,Creamy Milk Chocolate Bar by Whittakers,"Creamy Milk chocolate from Ghana's finest cocoa. Smooth, creamy, with just the right amount of sugar.",1,0.016,2.5,7.5,1,5,Marketplace,dessert,https://alittlething.co/wp-content/uploads/2022/07/rsz_dsc00051.jpg
simple,19748,Traveller's Cutlery Set,Having your food as convenient as possible at wherever you are!,1,0.095,6,21,2.5,24,Marketplace,travel,https://alittlething.co/wp-content/uploads/2022/07/DSC00046.jpg
simple,19750,Biscoff cookies by Lotus,"Enjoy the unique taste of Lotus Biscoff, a biscuit with a surprisingly crunchy bite and is loved all over the world.",1,0.125,7.3,11,3.3,12,Marketplace,sweet,https://alittlething.co/wp-content/uploads/2022/07/DSC00044-rotated.jpg
simple,19752,Classic Cheese by Loacker,Happiness is Cheese!! and the Cripsy layer wafers combined with cream cheese filling are the best!,1,0.045,6,13,1.8,6,Marketplace,savoury,https://alittlething.co/wp-content/uploads/2022/07/DSC00058-rotated.jpg
simple,19754,Organic Chamomile with Manuka Honey Tea by Heath & Heather,Chamomile flower for calm and sleep. Here combined with sweet and soothing flavours of Manuka Honey for the perfect naturally caffeine-free treat before bedtime. Great to treat yourself after work!,1,0.003,7.5,6.5,0.5,5,Marketplace,tea,https://alittlething.co/wp-content/uploads/2022/07/DSC00066.-rotated.jpg
simple,19756,Organic Echinacea & Cranberry by Heath & Heather,Fruity caffeine-free infusion BEST for non caffeine drinker! Heath ; Heather Organic Echinacea provides a delicate herbal infusion with subtle spiced undertones and cranberry to enhances the immune system and also maintains the healthy heart.,1,0.003,7.5,6.5,0.5,5,Marketplace,Vegan,https://alittlething.co/wp-content/uploads/2022/07/DSC00013-rotated.jpg
simple,19759,Vegan Coffee by Brew with Plant,Enhance your concentration at work with this plant-based beverage coffee without added sugar and relish the taste of coffee in its purest form.,1,0.016,3.5,1.8,1,5,Marketplace,Instant Coffee,https://alittlething.co/wp-content/uploads/2022/07/DSC00035..jpg
simple,19761,Milk Chocolate by Toblerone,Swiss chocolate bar made with honey and almond nougat.,1,0.0087,2,7,2,1,Marketplace,dessert,https://alittlething.co/wp-content/uploads/2022/07/DSC00062..jpg
simple,19763,Assorted Flavour Seri Songket Tea by BOH,Exquisite teas with an exotic twist make a great gift and are a wonderful way to savour a variety of flavours at any time.,1,0.013,7.5,6.5,1.6,3,Marketplace,tea,https://alittlething.co/wp-content/uploads/2022/07/DSC00065.jpg
simple,19766,Digestive Wheatmeal Biscuits by McVities,"Treat yourself with this digestive biscuit best to help provide healthy digestion. Made with a blendo of wheat and flour and wholemeal, what a healthy choice!",1,0.031,10.5,7.5,1.5,4.5,Marketplace,dessert,https://alittlething.co/wp-content/uploads/2022/07/DSC00033..jpg
simple,19767,Yogurt Almond Apricot Bar by Go Natural,Healthy food healthy mind. Enjoy the snacks with a yogurts twist and no artificial colours or flavours!,1,0.04,15.5,4,1.5,12,Marketplace,eat clean,https://alittlething.co/wp-content/uploads/2022/07/DSC00059.-rotated.jpg
simple,19770,A6 Journal,Perfect little journal for your work!,1,0.128,14.5,9.5,1.7,16,Marketplace,travel,https://alittlething.co/wp-content/uploads/2022/07/DSC00038.jpg
simple,19774,Signature Chocolate Cookies by Famous Amos,Famous Amos chocolate chip cookies are freshly baked using semi-sweet chocolate chips to create that melt-in-your-mouth sensation adored by cookie lovers the world over.,1,0.061,7.5,7.5,4.5,6,Marketplace,dessert,https://alittlething.co/wp-content/uploads/2022/07/rsz_dsc00020.jpg
simple,19777,‘Coconut Kaya’ Granola by Amazin’Graze,"The ultimate Malaysian snack (kuih kapit or love letters) reimagined. A wholesome blend of traditional rolled oats and chia seeds graciously coated in kaya jam and fresh pandan leaves, then topped with buttery pecans, earthy almonds, and juicy cranberries..",1,0.061,7.5,7.5,4.5,10,Marketplace,dessert,https://alittlething.co/wp-content/uploads/2022/07/rsz_dsc00055.jpg
simple,19779,Nuts n’ Raisins’ Brownie Chips by Amazin’Graze,"MORE superfoods and yummy additions! These sweet and crunchy snaps are hand-baked to perfection, generously topped with almond flakes, hazelnut bits, cranberry seeds and dark raisins – you just can’t stop at one!",1,0.061,7.5,7.5,4.5,12.8,Marketplace,dessert,https://alittlething.co/wp-content/uploads/2022/07/rsz_dsc00073.jpg
